Method,Frequency,Region_From,Region_To,W_Stat,P_value
gPDC,100Hz,AG-L,SPL-L,4.0,0.0137
gPDC,100Hz,AG-R,PMd-L,4.0,0.0137
gPDC,100Hz,AG-R,S1-R,6.0,0.0273
gPDC,100Hz,AG-R,STS-R,5.0,0.0195
gPDC,100Hz,FEF-L,PMd-R,8.0,0.0488
gPDC,100Hz,FEF-R,PMd-L,1.0,0.0039
gPDC,100Hz,FEF-R,POJ-R,6.0,0.0273
gPDC,100Hz,FEF-R,V1-R,8.0,0.0488
gPDC,100Hz,FEF-R,mIPS-R,8.0,0.0488
gPDC,100Hz,IPL-L,PMv-L,7.0,0.0371
gPDC,100Hz,IPL-L,V3-R,8.0,0.0488
gPDC,100Hz,IPL-R,V1-L,8.0,0.0488
gPDC,100Hz,M1-L,SPL-L,8.0,0.0488
gPDC,100Hz,M1-R,V1-R,6.0,0.0273
gPDC,100Hz,M1-R,V3-L,8.0,0.0488
gPDC,100Hz,PMd-L,POJ-L,8.0,0.0488
gPDC,100Hz,PMd-L,mIPS-L,7.0,0.0371
gPDC,100Hz,PMd-R,AG-L,6.0,0.0273
gPDC,100Hz,PMd-R,SMA-L,6.0,0.0273
gPDC,100Hz,PMd-R,V3-L,6.0,0.0273
gPDC,100Hz,PMv-L,VIP-L,8.0,0.0488
gPDC,100Hz,PMv-L,mIPS-L,2.0,0.0059
gPDC,100Hz,PMv-R,V3-R,8.0,0.0488
gPDC,100Hz,POJ-L,IPL-R,5.0,0.0195
gPDC,100Hz,POJ-L,PMd-R,6.0,0.0273
gPDC,100Hz,POJ-L,STS-L,5.0,0.0195
gPDC,100Hz,POJ-L,STS-R,5.0,0.0195
gPDC,100Hz,POJ-L,V3-L,5.0,0.0195
gPDC,100Hz,POJ-R,POJ-L,1.0,0.0039
gPDC,100Hz,S1-L,M1-R,8.0,0.0488
gPDC,100Hz,S1-L,PMd-R,6.0,0.0273
gPDC,100Hz,S1-R,V3-R,0.0,0.002
gPDC,100Hz,S1-R,VIP-L,6.0,0.0273
gPDC,100Hz,SMA-R,VIP-R,8.0,0.0488
gPDC,100Hz,SPL-L,AG-R,4.0,0.0137
gPDC,100Hz,SPL-L,S1-L,2.0,0.0059
gPDC,100Hz,SPL-L,S1-R,4.0,0.0137
gPDC,100Hz,SPL-L,SPOC-R,4.0,0.0137
gPDC,100Hz,SPL-L,STS-L,5.0,0.0195
gPDC,100Hz,SPL-R,SPL-L,7.0,0.0371
gPDC,100Hz,SPOC-L,IPL-L,5.0,0.0195
gPDC,100Hz,SPOC-L,SPOC-R,6.0,0.0273
gPDC,100Hz,STS-R,V1-L,6.0,0.0273
gPDC,100Hz,V1-L,M1-L,1.0,0.0039
gPDC,100Hz,V1-L,M1-R,4.0,0.0137
gPDC,100Hz,V1-L,PMd-L,7.0,0.0371
gPDC,100Hz,V1-L,SPOC-R,6.0,0.0273
gPDC,100Hz,V1-L,STS-R,8.0,0.0488
gPDC,100Hz,V1-R,AG-L,7.0,0.0371
gPDC,100Hz,V3-R,SPL-L,2.0,0.0059
gPDC,100Hz,V3-R,V1-L,4.0,0.0137
gPDC,100Hz,V3-R,mIPS-L,0.0,0.002
gPDC,100Hz,VIP-L,S1-L,5.0,0.0195
gPDC,100Hz,VIP-R,S1-L,7.0,0.0371
gPDC,100Hz,VIP-R,STS-R,0.0,0.002
gPDC,100Hz,mIPS-L,IPL-R,6.0,0.0273
gPDC,100Hz,mIPS-R,S1-R,8.0,0.0488
gPDC,100Hz,mIPS-R,SMA-R,5.0,0.0195
gPDC,101Hz,AG-L,SPL-L,4.0,0.0137
gPDC,101Hz,AG-R,PMd-L,4.0,0.0137
gPDC,101Hz,AG-R,S1-R,6.0,0.0273
gPDC,101Hz,AG-R,STS-R,5.0,0.0195
gPDC,101Hz,FEF-L,PMd-R,8.0,0.0488
gPDC,101Hz,FEF-R,PMd-L,1.0,0.0039
gPDC,101Hz,FEF-R,POJ-R,8.0,0.0488
gPDC,101Hz,FEF-R,V1-R,8.0,0.0488
gPDC,101Hz,IPL-L,PMv-L,7.0,0.0371
gPDC,101Hz,IPL-L,V3-R,8.0,0.0488
gPDC,101Hz,IPL-R,V1-L,8.0,0.0488
gPDC,101Hz,M1-L,SPL-L,7.0,0.0371
gPDC,101Hz,M1-L,V1-R,8.0,0.0488
gPDC,101Hz,M1-R,V1-R,7.0,0.0371
gPDC,101Hz,PMd-L,POJ-L,8.0,0.0488
gPDC,101Hz,PMd-L,mIPS-L,6.0,0.0273
gPDC,101Hz,PMd-R,AG-L,7.0,0.0371
gPDC,101Hz,PMd-R,SMA-L,6.0,0.0273
gPDC,101Hz,PMd-R,V3-L,6.0,0.0273
gPDC,101Hz,PMv-L,VIP-L,8.0,0.0488
gPDC,101Hz,PMv-L,mIPS-L,2.0,0.0059
gPDC,101Hz,PMv-R,V3-R,8.0,0.0488
gPDC,101Hz,POJ-L,IPL-R,5.0,0.0195
gPDC,101Hz,POJ-L,PMd-R,6.0,0.0273
gPDC,101Hz,POJ-L,STS-L,7.0,0.0371
gPDC,101Hz,POJ-L,STS-R,5.0,0.0195
gPDC,101Hz,POJ-L,V3-L,6.0,0.0273
gPDC,101Hz,POJ-R,POJ-L,2.0,0.0059
gPDC,101Hz,S1-L,M1-R,8.0,0.0488
gPDC,101Hz,S1-L,PMd-R,8.0,0.0488
gPDC,101Hz,S1-R,V3-R,0.0,0.002
gPDC,101Hz,S1-R,VIP-L,5.0,0.0195
gPDC,101Hz,SMA-R,VIP-R,8.0,0.0488
gPDC,101Hz,SPL-L,AG-R,4.0,0.0137
gPDC,101Hz,SPL-L,S1-L,2.0,0.0059
gPDC,101Hz,SPL-L,S1-R,5.0,0.0195
gPDC,101Hz,SPL-L,SPOC-R,4.0,0.0137
gPDC,101Hz,SPL-L,STS-L,4.0,0.0137
gPDC,101Hz,SPOC-L,IPL-L,5.0,0.0195
gPDC,101Hz,SPOC-L,SPOC-R,6.0,0.0273
gPDC,101Hz,STS-L,S1-L,8.0,0.0488
gPDC,101Hz,STS-R,V1-L,4.0,0.0137
gPDC,101Hz,V1-L,M1-L,1.0,0.0039
gPDC,101Hz,V1-L,M1-R,3.0,0.0098
gPDC,101Hz,V1-L,PMd-L,8.0,0.0488
gPDC,101Hz,V1-L,SPOC-R,6.0,0.0273
gPDC,101Hz,V1-L,STS-R,8.0,0.0488
gPDC,101Hz,V1-R,AG-L,6.0,0.0273
gPDC,101Hz,V3-R,SPL-L,2.0,0.0059
gPDC,101Hz,V3-R,V1-L,4.0,0.0137
gPDC,101Hz,V3-R,mIPS-L,0.0,0.002
gPDC,101Hz,VIP-L,S1-L,5.0,0.0195
gPDC,101Hz,VIP-R,S1-L,7.0,0.0371
gPDC,101Hz,VIP-R,STS-R,0.0,0.002
gPDC,101Hz,mIPS-L,IPL-R,6.0,0.0273
gPDC,101Hz,mIPS-L,S1-L,8.0,0.0488
gPDC,101Hz,mIPS-R,S1-R,8.0,0.0488
gPDC,101Hz,mIPS-R,SMA-R,5.0,0.0195
gPDC,10Hz,AG-R,PMd-L,6.0,0.0273
gPDC,10Hz,AG-R,POJ-L,8.0,0.0488
gPDC,10Hz,AG-R,SPOC-R,8.0,0.0488
gPDC,10Hz,FEF-R,V3-L,8.0,0.0488
gPDC,10Hz,FEF-R,VIP-L,7.0,0.0371
gPDC,10Hz,IPL-L,PMd-L,3.0,0.0098
gPDC,10Hz,IPL-L,PMd-R,7.0,0.0371
gPDC,10Hz,IPL-L,SPOC-L,6.0,0.0273
gPDC,10Hz,IPL-L,V3-L,5.0,0.0195
gPDC,10Hz,M1-L,IPL-L,7.0,0.0371
gPDC,10Hz,M1-L,IPL-R,7.0,0.0371
gPDC,10Hz,M1-L,SPOC-L,8.0,0.0488
gPDC,10Hz,M1-R,SMA-R,6.0,0.0273
gPDC,10Hz,M1-R,SPOC-R,7.0,0.0371
gPDC,10Hz,PMd-L,PMv-L,4.0,0.0137
gPDC,10Hz,PMd-L,SPL-L,7.0,0.0371
gPDC,10Hz,PMd-L,SPOC-L,8.0,0.0488
gPDC,10Hz,PMd-R,SPOC-L,2.0,0.0059
gPDC,10Hz,PMv-L,IPL-L,6.0,0.0273
gPDC,10Hz,PMv-L,PMv-R,7.0,0.0371
gPDC,10Hz,PMv-R,mIPS-L,2.0,0.0059
gPDC,10Hz,POJ-R,M1-R,5.0,0.0195
