Method,Frequency,Region_From,Region_To,W_Stat,P_value
iPDC,100Hz,IPL-R,V3-L,6.0,0.0273
iPDC,100Hz,IPL-R,VIP-L,8.0,0.0488
iPDC,100Hz,M1-L,VIP-R,6.0,0.0273
iPDC,100Hz,M1-R,FEF-R,8.0,0.0488
iPDC,100Hz,PMd-R,POJ-L,1.0,0.0039
iPDC,100Hz,PMv-R,VIP-R,1.0,0.0039
iPDC,100Hz,POJ-L,M1-R,8.0,0.0488
iPDC,100Hz,POJ-L,STS-L,6.0,0.0273
iPDC,100Hz,POJ-L,mIPS-L,5.0,0.0195
iPDC,100Hz,POJ-R,VIP-R,0.0,0.002
iPDC,100Hz,S1-L,IPL-L,3.0,0.0098
iPDC,100Hz,S1-L,PMv-L,5.0,0.0195
iPDC,100Hz,S1-L,mIPS-R,8.0,0.0488
iPDC,100Hz,SMA-L,PMd-L,6.0,0.0273
iPDC,100Hz,SMA-R,IPL-R,7.0,0.0371
iPDC,100Hz,SMA-R,POJ-R,7.0,0.0371
iPDC,100Hz,SMA-R,SMA-L,4.0,0.0137
iPDC,100Hz,SPL-L,SMA-L,8.0,0.0488
iPDC,100Hz,SPL-R,POJ-R,7.0,0.0371
iPDC,100Hz,SPL-R,S1-L,6.0,0.0273
iPDC,100Hz,SPL-R,S1-R,7.0,0.0371
iPDC,100Hz,STS-L,IPL-L,7.0,0.0371
iPDC,100Hz,STS-L,VIP-R,6.0,0.0273
iPDC,100Hz,STS-R,AG-L,7.0,0.0371
iPDC,100Hz,STS-R,FEF-L,7.0,0.0371
iPDC,100Hz,STS-R,M1-L,7.0,0.0371
iPDC,100Hz,V1-L,IPL-L,8.0,0.0488
iPDC,100Hz,V1-R,mIPS-L,3.0,0.0098
iPDC,100Hz,V3-R,AG-R,8.0,0.0488
iPDC,100Hz,V3-R,STS-R,7.0,0.0371
iPDC,100Hz,V3-R,V3-L,6.0,0.0273
iPDC,100Hz,V3-R,VIP-R,8.0,0.0488
iPDC,100Hz,VIP-L,SPL-L,8.0,0.0488
iPDC,100Hz,VIP-R,S1-R,2.0,0.0059
iPDC,100Hz,VIP-R,SMA-R,6.0,0.0273
iPDC,100Hz,mIPS-L,AG-L,8.0,0.0488
iPDC,100Hz,mIPS-L,FEF-R,7.0,0.0371
iPDC,100Hz,mIPS-L,IPL-L,3.0,0.0098
iPDC,100Hz,mIPS-L,PMd-L,6.0,0.0273
iPDC,100Hz,mIPS-L,SPL-R,7.0,0.0371
iPDC,100Hz,mIPS-L,STS-L,4.0,0.0137
iPDC,100Hz,mIPS-R,IPL-L,8.0,0.0488
iPDC,100Hz,mIPS-R,S1-L,3.0,0.0098
iPDC,100Hz,mIPS-R,SMA-L,5.0,0.0195
iPDC,100Hz,mIPS-R,VIP-R,2.0,0.0059
iPDC,10Hz,AG-L,PMv-R,5.0,0.0195
iPDC,10Hz,AG-R,V1-L,5.0,0.0195
iPDC,10Hz,FEF-L,SMA-L,4.0,0.0137
iPDC,10Hz,FEF-R,SMA-L,1.0,0.0039
iPDC,10Hz,FEF-R,VIP-L,6.0,0.0273
iPDC,10Hz,IPL-L,POJ-L,4.0,0.0137
iPDC,10Hz,M1-L,VIP-L,7.0,0.0371
iPDC,10Hz,PMd-L,STS-R,7.0,0.0371
iPDC,10Hz,PMd-R,IPL-L,6.0,0.0273
iPDC,10Hz,PMv-R,POJ-R,6.0,0.0273
iPDC,10Hz,S1-L,SPOC-L,6.0,0.0273
iPDC,10Hz,S1-R,POJ-L,8.0,0.0488
iPDC,10Hz,SMA-L,S1-L,4.0,0.0137
iPDC,10Hz,SMA-L,SPOC-L,6.0,0.0273
iPDC,10Hz,SPL-L,mIPS-R,3.0,0.0098
iPDC,10Hz,SPL-R,SPOC-L,8.0,0.0488
iPDC,10Hz,STS-L,V3-L,3.0,0.0098
iPDC,10Hz,V1-R,PMv-L,2.0,0.0059
iPDC,10Hz,V1-R,mIPS-L,4.0,0.0137
iPDC,10Hz,VIP-R,V3-R,6.0,0.0273
iPDC,10Hz,mIPS-L,M1-R,6.0,0.0273
iPDC,10Hz,mIPS-L,POJ-L,3.0,0.0098
iPDC,10Hz,mIPS-R,VIP-L,4.0,0.0137
iPDC,20Hz,AG-L,PMv-R,7.0,0.0371
iPDC,20Hz,AG-L,S1-R,6.0,0.0273
iPDC,20Hz,AG-R,AG-L,2.0,0.0059
iPDC,20Hz,AG-R,V1-L,5.0,0.0195
iPDC,20Hz,AG-R,VIP-L,3.0,0.0098
iPDC,20Hz,FEF-L,SMA-L,4.0,0.0137
iPDC,20Hz,FEF-R,PMv-R,5.0,0.0195
iPDC,20Hz,IPL-L,AG-R,5.0,0.0195
iPDC,20Hz,IPL-L,POJ-L,8.0,0.0488
iPDC,20Hz,IPL-R,SPOC-L,6.0,0.0273
