Method,Frequency,Region_From,Region_To,W_Stat,P_value
gPDC,100Hz,FEF-R,SPOC-L,7.0,0.0371
gPDC,100Hz,M1-L,VIP-R,3.0,0.0098
gPDC,100Hz,M1-R,PMd-L,8.0,0.0488
gPDC,100Hz,PMd-R,POJ-L,2.0,0.0059
gPDC,100Hz,PMv-R,VIP-R,4.0,0.0137
gPDC,100Hz,POJ-L,STS-L,4.0,0.0137
gPDC,100Hz,POJ-L,mIPS-L,7.0,0.0371
gPDC,100Hz,POJ-R,SMA-R,7.0,0.0371
gPDC,100Hz,POJ-R,V3-R,5.0,0.0195
gPDC,100Hz,POJ-R,VIP-R,6.0,0.0273
gPDC,100Hz,S1-L,IPL-L,3.0,0.0098
gPDC,100Hz,S1-L,PMv-L,4.0,0.0137
gPDC,100Hz,S1-L,mIPS-R,6.0,0.0273
gPDC,100Hz,SMA-L,IPL-R,5.0,0.0195
gPDC,100Hz,SMA-L,PMd-L,4.0,0.0137
gPDC,100Hz,SMA-L,SMA-R,6.0,0.0273
gPDC,100Hz,SMA-R,IPL-R,8.0,0.0488
gPDC,100Hz,SMA-R,SMA-L,5.0,0.0195
gPDC,100Hz,SPL-L,SMA-L,7.0,0.0371
gPDC,100Hz,SPL-R,S1-R,3.0,0.0098
gPDC,100Hz,STS-L,VIP-R,8.0,0.0488
gPDC,100Hz,V1-R,STS-L,4.0,0.0137
gPDC,100Hz,V1-R,mIPS-L,7.0,0.0371
gPDC,100Hz,VIP-R,S1-R,5.0,0.0195
gPDC,100Hz,VIP-R,SMA-R,8.0,0.0488
gPDC,100Hz,mIPS-L,FEF-R,8.0,0.0488
gPDC,100Hz,mIPS-L,IPL-L,7.0,0.0371
gPDC,100Hz,mIPS-L,STS-L,3.0,0.0098
gPDC,100Hz,mIPS-R,S1-L,3.0,0.0098
gPDC,100Hz,mIPS-R,S1-R,7.0,0.0371
gPDC,100Hz,mIPS-R,SMA-L,6.0,0.0273
gPDC,100Hz,mIPS-R,VIP-R,8.0,0.0488
gPDC,10Hz,AG-L,IPL-R,2.0,0.0059
gPDC,10Hz,AG-L,PMv-R,3.0,0.0098
gPDC,10Hz,AG-R,AG-L,8.0,0.0488
gPDC,10Hz,AG-R,V3-L,8.0,0.0488
gPDC,10Hz,FEF-L,M1-R,4.0,0.0137
gPDC,10Hz,FEF-L,SMA-L,3.0,0.0098
gPDC,10Hz,FEF-L,STS-R,8.0,0.0488
gPDC,10Hz,FEF-R,SMA-L,2.0,0.0059
gPDC,10Hz,IPL-L,POJ-L,6.0,0.0273
gPDC,10Hz,IPL-R,SPL-L,7.0,0.0371
gPDC,10Hz,IPL-R,STS-R,5.0,0.0195
gPDC,10Hz,M1-L,VIP-L,7.0,0.0371
gPDC,10Hz,PMd-L,STS-R,7.0,0.0371
gPDC,10Hz,PMd-R,IPL-L,5.0,0.0195
gPDC,10Hz,PMv-L,PMd-R,7.0,0.0371
gPDC,10Hz,PMv-R,POJ-R,4.0,0.0137
gPDC,10Hz,POJ-R,VIP-L,7.0,0.0371
gPDC,10Hz,SMA-L,SPL-R,5.0,0.0195
gPDC,10Hz,SMA-R,VIP-R,4.0,0.0137
gPDC,10Hz,SPL-R,POJ-R,2.0,0.0059
gPDC,10Hz,SPL-R,SPOC-L,0.0,0.002
gPDC,10Hz,STS-L,V3-L,7.0,0.0371
gPDC,10Hz,STS-R,mIPS-R,7.0,0.0371
gPDC,10Hz,V1-L,M1-L,6.0,0.0273
gPDC,10Hz,V1-L,M1-R,8.0,0.0488
gPDC,10Hz,V1-R,SPOC-L,7.0,0.0371
gPDC,10Hz,VIP-R,V3-R,6.0,0.0273
gPDC,10Hz,mIPS-L,M1-R,7.0,0.0371
gPDC,10Hz,mIPS-L,PMv-L,5.0,0.0195
gPDC,10Hz,mIPS-R,PMd-R,6.0,0.0273
gPDC,10Hz,mIPS-R,VIP-L,3.0,0.0098
gPDC,20Hz,AG-L,PMv-R,1.0,0.0039
gPDC,20Hz,AG-L,S1-R,7.0,0.0371
gPDC,20Hz,AG-R,AG-L,4.0,0.0137
gPDC,20Hz,AG-R,S1-L,6.0,0.0273
gPDC,20Hz,AG-R,VIP-L,6.0,0.0273
gPDC,20Hz,FEF-L,M1-R,5.0,0.0195
gPDC,20Hz,FEF-L,SMA-L,3.0,0.0098
gPDC,20Hz,FEF-L,mIPS-R,8.0,0.0488
gPDC,20Hz,FEF-R,PMv-R,8.0,0.0488
gPDC,20Hz,IPL-L,POJ-L,8.0,0.0488
gPDC,20Hz,IPL-R,SPL-L,3.0,0.0098
gPDC,20Hz,IPL-R,STS-R,7.0,0.0371
gPDC,20Hz,M1-L,VIP-L,3.0,0.0098
gPDC,20Hz,PMd-L,STS-R,6.0,0.0273
gPDC,20Hz,PMd-R,IPL-L,7.0,0.0371
gPDC,20Hz,PMv-L,PMd-L,7.0,0.0371
gPDC,20Hz,PMv-L,VIP-L,7.0,0.0371
gPDC,20Hz,PMv-R,SMA-R,6.0,0.0273
gPDC,20Hz,POJ-R,POJ-L,7.0,0.0371
gPDC,20Hz,POJ-R,VIP-L,2.0,0.0059
gPDC,20Hz,S1-L,SPOC-L,1.0,0.0039
gPDC,20Hz,S1-R,PMd-L,0.0,0.002
gPDC,20Hz,S1-R,POJ-L,1.0,0.0039
gPDC,20Hz,SPL-R,SPOC-L,4.0,0.0137
gPDC,20Hz,SPOC-R,STS-R,7.0,0.0371
gPDC,20Hz,SPOC-R,V3-R,0.0,0.002
gPDC,20Hz,STS-L,V3-L,6.0,0.0273
gPDC,20Hz,V1-L,M1-L,1.0,0.0039
gPDC,20Hz,V1-L,M1-R,0.0,0.002
gPDC,20Hz,V1-L,S1-L,8.0,0.0488
gPDC,20Hz,V1-L,SMA-L,3.0,0.0098
gPDC,20Hz,V1-L,STS-L,8.0,0.0488
gPDC,20Hz,V1-L,VIP-L,6.0,0.0273
gPDC,20Hz,V1-L,VIP-R,7.0,0.0371
gPDC,20Hz,V1-R,SPOC-L,8.0,0.0488
gPDC,20Hz,V3-L,M1-L,7.0,0.0371
gPDC,20Hz,V3-R,V1-L,6.0,0.0273
gPDC,20Hz,V3-R,V3-L,5.0,0.0195
gPDC,20Hz,VIP-L,S1-R,7.0,0.0371
gPDC,20Hz,VIP-R,V3-R,5.0,0.0195
gPDC,20Hz,mIPS-L,M1-R,5.0,0.0195
gPDC,20Hz,mIPS-R,PMd-R,6.0,0.0273
gPDC,20Hz,mIPS-R,VIP-L,2.0,0.0059
gPDC,25Hz,AG-L,PMv-R,3.0,0.0098
gPDC,25Hz,AG-L,S1-R,7.0,0.0371
gPDC,25Hz,AG-R,AG-L,5.0,0.0195
gPDC,25Hz,AG-R,S1-L,6.0,0.0273
gPDC,25Hz,AG-R,STS-L,6.0,0.0273
gPDC,25Hz,AG-R,VIP-L,7.0,0.0371
gPDC,25Hz,FEF-L,M1-R,6.0,0.0273
gPDC,25Hz,FEF-L,SMA-L,4.0,0.0137
gPDC,25Hz,IPL-L,FEF-R,5.0,0.0195
gPDC,25Hz,IPL-R,SPL-L,6.0,0.0273
gPDC,25Hz,M1-L,VIP-L,3.0,0.0098
gPDC,25Hz,PMd-L,STS-R,8.0,0.0488
gPDC,25Hz,PMv-L,PMd-L,4.0,0.0137
gPDC,25Hz,PMv-L,V1-R,6.0,0.0273
gPDC,25Hz,PMv-L,VIP-L,7.0,0.0371
gPDC,25Hz,PMv-R,SMA-R,6.0,0.0273
gPDC,25Hz,POJ-L,SMA-L,8.0,0.0488
gPDC,25Hz,POJ-L,SPOC-L,6.0,0.0273
gPDC,25Hz,POJ-R,VIP-L,3.0,0.0098
gPDC,25Hz,S1-L,PMv-R,8.0,0.0488
gPDC,25Hz,S1-L,SPOC-L,0.0,0.002
gPDC,25Hz,S1-R,PMd-L,0.0,0.002
gPDC,25Hz,S1-R,POJ-L,2.0,0.0059
gPDC,25Hz,SMA-L,PMd-L,6.0,0.0273
gPDC,25Hz,SPL-R,SPOC-L,4.0,0.0137
gPDC,25Hz,SPL-R,mIPS-R,6.0,0.0273
gPDC,25Hz,SPOC-R,STS-R,7.0,0.0371
gPDC,25Hz,SPOC-R,V3-R,1.0,0.0039
gPDC,25Hz,STS-L,V3-L,6.0,0.0273
gPDC,25Hz,STS-R,POJ-R,7.0,0.0371
gPDC,25Hz,V1-L,M1-L,3.0,0.0098
gPDC,25Hz,V1-L,M1-R,0.0,0.002
gPDC,25Hz,V1-L,S1-L,8.0,0.0488
gPDC,25Hz,V1-L,SMA-L,0.0,0.002
gPDC,25Hz,V1-L,STS-L,7.0,0.0371
gPDC,25Hz,V1-L,VIP-L,6.0,0.0273
gPDC,25Hz,V1-L,VIP-R,5.0,0.0195
gPDC,25Hz,V1-R,V3-L,8.0,0.0488
gPDC,25Hz,V3-L,M1-L,6.0,0.0273
gPDC,25Hz,V3-R,V1-L,5.0,0.0195
gPDC,25Hz,V3-R,V3-L,4.0,0.0137
gPDC,25Hz,VIP-L,S1-R,7.0,0.0371
gPDC,25Hz,VIP-R,STS-L,7.0,0.0371
gPDC,25Hz,mIPS-R,PMd-R,5.0,0.0195
gPDC,25Hz,mIPS-R,S1-L,6.0,0.0273
gPDC,25Hz,mIPS-R,VIP-L,2.0,0.0059
